Category,Region,Year,Unit,Value
Total,Regiunea NORD-VEST,1993, Thousands hectares,960.8
Total,Regiunea NORD-VEST,1994, Thousands hectares,964.7
Total,Regiunea NORD-VEST,1995, Thousands hectares,964.5
Total,Regiunea NORD-VEST,1996, Thousands hectares,963.0
Total,Regiunea NORD-VEST,1997, Thousands hectares,964.2
Total,Regiunea NORD-VEST,1998, Thousands hectares,964.0
Total,Regiunea NORD-VEST,1999, Thousands hectares,964.1
Total,Regiunea NORD-VEST,2000, Thousands hectares,964.3
Total,Regiunea NORD-VEST,2001, Thousands hectares,964.3
Total,Regiunea NORD-VEST,2002, Thousands hectares,977.7
Total,Regiunea NORD-VEST,2003, Thousands hectares,966.3
Total,Regiunea NORD-VEST,2004, Thousands hectares,963.9
Total,Regiunea NORD-VEST,2005, Thousands hectares,968.2
Total,Regiunea NORD-VEST,2006, Thousands hectares,963.9
Total,Regiunea NORD-VEST,2007, Thousands hectares,967.7
Total,Regiunea NORD-VEST,2008, Thousands hectares,977.2
Total,Regiunea NORD-VEST,2009, Thousands hectares,979.3
Total,Regiunea NORD-VEST,2010, Thousands hectares,986.6
Total,Regiunea NORD-VEST,2011, Thousands hectares,988.5
Total,Regiunea NORD-VEST,2012, Thousands hectares,989.7
Total,Regiunea NORD-VEST,2013, Thousands hectares,990.6
Total,Regiunea NORD-VEST,2014, Thousands hectares,990.9
Total,Regiunea NORD-VEST,2015, Thousands hectares,992.6
Total,Regiunea NORD-VEST,2016, Thousands hectares,993.9
Total,Regiunea NORD-VEST,2017, Thousands hectares,994.6
Total,Regiunea NORD-VEST,2018, Thousands hectares,1000.4
Total,Regiunea NORD-VEST,2019, Thousands hectares,1001.9
Total,Bihor,1990, Thousands hectares,195.4
Total,Bihor,1991, Thousands hectares,195.4
Total,Bihor,1992, Thousands hectares,195.4
Total,Bihor,1993, Thousands hectares,191.7
Total,Bihor,1994, Thousands hectares,194.7
Total,Bihor,1995, Thousands hectares,195.3
Total,Bihor,1996, Thousands hectares,195.3
Total,Bihor,1997, Thousands hectares,195.3
Total,Bihor,1998, Thousands hectares,195.5
Total,Bihor,1999, Thousands hectares,195.5
Total,Bihor,2000, Thousands hectares,195.5
Total,Bihor,2001, Thousands hectares,195.6
Total,Bihor,2002, Thousands hectares,198.2
Total,Bihor,2003, Thousands hectares,195.4
Total,Bihor,2004, Thousands hectares,195.3
Total,Bihor,2005, Thousands hectares,193.4
Total,Bihor,2006, Thousands hectares,200.3
Total,Bihor,2007, Thousands hectares,206.7
Total,Bihor,2008, Thousands hectares,208.1
Total,Bihor,2009, Thousands hectares,209.2
Total,Bihor,2010, Thousands hectares,209.2
Total,Bihor,2011, Thousands hectares,209.2
Total,Bihor,2012, Thousands hectares,209.2
Total,Bihor,2013, Thousands hectares,209.2
Total,Bihor,2014, Thousands hectares,209.3
Total,Bihor,2015, Thousands hectares,209.3
Total,Bihor,2016, Thousands hectares,209.3
Total,Bihor,2017, Thousands hectares,209.4
Total,Bihor,2018, Thousands hectares,211.2
Total,Bihor,2019, Thousands hectares,211.2
Total,Bistrita-Nasaud,1990, Thousands hectares,189.5
Total,Bistrita-Nasaud,1991, Thousands hectares,189.9
Total,Bistrita-Nasaud,1992, Thousands hectares,189.9
Total,Bistrita-Nasaud,1993, Thousands hectares,189.9
Total,Bistrita-Nasaud,1994, Thousands hectares,190.0
Total,Bistrita-Nasaud,1995, Thousands hectares,189.8
Total,Bistrita-Nasaud,1996, Thousands hectares,188.6
Total,Bistrita-Nasaud,1997, Thousands hectares,189.7
Total,Bistrita-Nasaud,1998, Thousands hectares,189.6
Total,Bistrita-Nasaud,1999, Thousands hectares,189.6
Total,Bistrita-Nasaud,2000, Thousands hectares,189.8
Total,Bistrita-Nasaud,2001, Thousands hectares,189.8
Total,Bistrita-Nasaud,2002, Thousands hectares,200.8
Total,Bistrita-Nasaud,2003, Thousands hectares,190.3
Total,Bistrita-Nasaud,2004, Thousands hectares,190.3
Total,Bistrita-Nasaud,2005, Thousands hectares,192.7
Total,Bistrita-Nasaud,2006, Thousands hectares,191.8
Total,Bistrita-Nasaud,2007, Thousands hectares,192.1
Total,Bistrita-Nasaud,2008, Thousands hectares,190.9
Total,Bistrita-Nasaud,2009, Thousands hectares,192.3
Total,Bistrita-Nasaud,2010, Thousands hectares,192.4
Total,Bistrita-Nasaud,2011, Thousands hectares,192.3
Total,Bistrita-Nasaud,2012, Thousands hectares,192.4
Total,Bistrita-Nasaud,2013, Thousands hectares,192.5
Total,Bistrita-Nasaud,2014, Thousands hectares,192.5
Total,Bistrita-Nasaud,2015, Thousands hectares,192.5
Total,Bistrita-Nasaud,2016, Thousands hectares,192.5
Total,Bistrita-Nasaud,2017, Thousands hectares,192.4
Total,Bistrita-Nasaud,2018, Thousands hectares,192.6
Total,Bistrita-Nasaud,2019, Thousands hectares,192.6
Total,Cluj,1990, Thousands hectares,152.8
Total,Cluj,1991, Thousands hectares,152.8
Total,Cluj,1992, Thousands hectares,152.9
Total,Cluj,1993, Thousands hectares,152.9
Total,Cluj,1994, Thousands hectares,153.6
Total,Cluj,1995, Thousands hectares,152.8
Total,Cluj,1996, Thousands hectares,152.6
Total,Cluj,1997, Thousands hectares,152.6
Total,Cluj,1998, Thousands hectares,152.6
Total,Cluj,1999, Thousands hectares,152.6
Total,Cluj,2000, Thousands hectares,152.4
Total,Cluj,2001, Thousands hectares,152.3
Total,Cluj,2002, Thousands hectares,152.1
Total,Cluj,2003, Thousands hectares,152.3
Total,Cluj,2004, Thousands hectares,152.3
Total,Cluj,2005, Thousands hectares,155.6
Total,Cluj,2006, Thousands hectares,145.7
Total,Cluj,2007, Thousands hectares,147.5
Total,Cluj,2008, Thousands hectares,149.8
Total,Cluj,2009, Thousands hectares,149.5
Total,Cluj,2010, Thousands hectares,157.7
Total,Cluj,2011, Thousands hectares,159.9
Total,Cluj,2012, Thousands hectares,160.7
Total,Cluj,2013, Thousands hectares,161.3
Total,Cluj,2014, Thousands hectares,161.3
Total,Cluj,2015, Thousands hectares,162.7
Total,Cluj,2016, Thousands hectares,164.1
Total,Cluj,2017, Thousands hectares,164.6
Total,Cluj,2018, Thousands hectares,168.1
Total,Cluj,2019, Thousands hectares,169.6
Total,Maramures,1990, Thousands hectares,262.2
Total,Maramures,1991, Thousands hectares,262.2
Total,Maramures,1992, Thousands hectares,262.7
Total,Maramures,1993, Thousands hectares,262.6
Total,Maramures,1994, Thousands hectares,263.2
Total,Maramures,1995, Thousands hectares,263.1
Total,Maramures,1996, Thousands hectares,263.1
Total,Maramures,1997, Thousands hectares,263.2
Total,Maramures,1998, Thousands hectares,263.0
Total,Maramures,1999, Thousands hectares,263.1
Total,Maramures,2000, Thousands hectares,263.0
Total,Maramures,2001, Thousands hectares,263.0
Total,Maramures,2002, Thousands hectares,263.0
Total,Maramures,2003, Thousands hectares,265.0
Total,Maramures,2004, Thousands hectares,262.7
Total,Maramures,2005, Thousands hectares,263.3
Total,Maramures,2006, Thousands hectares,260.0
Total,Maramures,2007, Thousands hectares,255.3
Total,Maramures,2008, Thousands hectares,260.0
Total,Maramures,2009, Thousands hectares,259.8
Total,Maramures,2010, Thousands hectares,258.9
Total,Maramures,2011, Thousands hectares,258.6
Total,Maramures,2012, Thousands hectares,259.0
Total,Maramures,2013, Thousands hectares,259.1
Total,Maramures,2014, Thousands hectares,259.3
Total,Maramures,2015, Thousands hectares,259.6
Total,Maramures,2016, Thousands hectares,259.6
Total,Maramures,2017, Thousands hectares,259.8
Total,Maramures,2018, Thousands hectares,260.0
Total,Maramures,2019, Thousands hectares,260.0
Total,Satu Mare,1990, Thousands hectares,68.6
Total,Satu Mare,1991, Thousands hectares,68.6
Total,Satu Mare,1992, Thousands hectares,68.5
Total,Satu Mare,1993, Thousands hectares,68.5
Total,Satu Mare,1994, Thousands hectares,68.0
Total,Satu Mare,1995, Thousands hectares,68.0
Total,Satu Mare,1996, Thousands hectares,68.0
Total,Satu Mare,1997, Thousands hectares,68.0
Total,Satu Mare,1998, Thousands hectares,67.9
Total,Satu Mare,1999, Thousands hectares,67.9
Total,Satu Mare,2000, Thousands hectares,68.0
Total,Satu Mare,2001, Thousands hectares,68.0
Total,Satu Mare,2002, Thousands hectares,68.0
Total,Satu Mare,2003, Thousands hectares,67.8
Total,Satu Mare,2004, Thousands hectares,67.8
Total,Satu Mare,2005, Thousands hectares,68.0
Total,Satu Mare,2006, Thousands hectares,70.2
Total,Satu Mare,2007, Thousands hectares,70.2
Total,Satu Mare,2008, Thousands hectares,72.5
Total,Satu Mare,2009, Thousands hectares,72.6
Total,Satu Mare,2010, Thousands hectares,72.5
Total,Satu Mare,2011, Thousands hectares,72.6
Total,Satu Mare,2012, Thousands hectares,72.6
Total,Satu Mare,2013, Thousands hectares,72.6
Total,Satu Mare,2014, Thousands hectares,72.6
Total,Satu Mare,2015, Thousands hectares,72.6
Total,Satu Mare,2016, Thousands hectares,72.5
Total,Satu Mare,2017, Thousands hectares,72.5
Total,Satu Mare,2018, Thousands hectares,72.6
Total,Satu Mare,2019, Thousands hectares,72.6
Total,Salaj,1990, Thousands hectares,95.0
Total,Salaj,1991, Thousands hectares,95.1
Total,Salaj,1992, Thousands hectares,95.2
Total,Salaj,1993, Thousands hectares,95.2
Total,Salaj,1994, Thousands hectares,95.2
Total,Salaj,1995, Thousands hectares,95.5
Total,Salaj,1996, Thousands hectares,95.4
Total,Salaj,1997, Thousands hectares,95.4
Total,Salaj,1998, Thousands hectares,95.4
Total,Salaj,1999, Thousands hectares,95.4
Total,Salaj,2000, Thousands hectares,95.6
Total,Salaj,2001, Thousands hectares,95.6
Total,Salaj,2002, Thousands hectares,95.6
Total,Salaj,2003, Thousands hectares,95.5
Total,Salaj,2004, Thousands hectares,95.5
Total,Salaj,2005, Thousands hectares,95.2
Total,Salaj,2006, Thousands hectares,95.9
Total,Salaj,2007, Thousands hectares,95.9
Total,Salaj,2008, Thousands hectares,95.9
Total,Salaj,2009, Thousands hectares,95.9
Total,Salaj,2010, Thousands hectares,95.9
Total,Salaj,2011, Thousands hectares,95.9
Total,Salaj,2012, Thousands hectares,95.8
Total,Salaj,2013, Thousands hectares,95.9
Total,Salaj,2014, Thousands hectares,95.9
Total,Salaj,2015, Thousands hectares,95.9
Total,Salaj,2016, Thousands hectares,95.9
Total,Salaj,2017, Thousands hectares,95.9
Total,Salaj,2018, Thousands hectares,95.9
Total,Salaj,2019, Thousands hectares,95.9
Total,Regiunea CENTRU,1990, Thousands hectares,1185.1
Total,Regiunea CENTRU,1991, Thousands hectares,1185.2
Total,Regiunea CENTRU,1992, Thousands hectares,1185.6
Total,Regiunea CENTRU,1993, Thousands hectares,1184.5
Total,Regiunea CENTRU,1994, Thousands hectares,1184.6
Total,Regiunea CENTRU,1995, Thousands hectares,1184.3
Total,Regiunea CENTRU,1996, Thousands hectares,1184.8
Total,Regiunea CENTRU,1997, Thousands hectares,1184.8
Total,Regiunea CENTRU,1998, Thousands hectares,1184.9
Total,Regiunea CENTRU,1999, Thousands hectares,1185.0
Total,Regiunea CENTRU,2000, Thousands hectares,1185.2
Total,Regiunea CENTRU,2001, Thousands hectares,1185.1
Total,Regiunea CENTRU,2002, Thousands hectares,1180.6
Total,Regiunea CENTRU,2003, Thousands hectares,1184.2
Total,Regiunea CENTRU,2004, Thousands hectares,1187.0
Total,Regiunea CENTRU,2005, Thousands hectares,1190.4
Total,Regiunea CENTRU,2006, Thousands hectares,1226.8
Total,Regiunea CENTRU,2007, Thousands hectares,1264.5
Total,Regiunea CENTRU,2008, Thousands hectares,1252.4
Total,Regiunea CENTRU,2009, Thousands hectares,1257.3
Total,Regiunea CENTRU,2010, Thousands hectares,1255.6
Total,Regiunea CENTRU,2011, Thousands hectares,1259.6
Total,Regiunea CENTRU,2012, Thousands hectares,1259.9
Total,Regiunea CENTRU,2013, Thousands hectares,1264.0
Total,Regiunea CENTRU,2014, Thousands hectares,1265.2
Total,Regiunea CENTRU,2015, Thousands hectares,1263.4
Total,Regiunea CENTRU,2016, Thousands hectares,1263.7
Total,Regiunea CENTRU,2017, Thousands hectares,1265.1
Total,Regiunea CENTRU,2018, Thousands hectares,1269.1
Total,Regiunea CENTRU,2019, Thousands hectares,1270.2
Total,Alba,1990, Thousands hectares,206.9
Total,Alba,1991, Thousands hectares,206.9
Total,Alba,1992, Thousands hectares,206.8
Total,Alba,1993, Thousands hectares,206.5
Total,Alba,1994, Thousands hectares,206.6
Total,Alba,1995, Thousands hectares,206.9
Total,Alba,1996, Thousands hectares,207.1
Total,Alba,1997, Thousands hectares,207.0
Total,Alba,1998, Thousands hectares,207.0
Total,Alba,1999, Thousands hectares,207.0
Total,Alba,2000, Thousands hectares,207.1
Total,Alba,2001, Thousands hectares,207.1
Total,Alba,2002, Thousands hectares,206.9
Total,Alba,2003, Thousands hectares,206.1
Total,Alba,2004, Thousands hectares,206.1
Total,Alba,2005, Thousands hectares,206.1
Total,Alba,2006, Thousands hectares,206.3
Total,Alba,2007, Thousands hectares,206.8
Total,Alba,2008, Thousands hectares,206.9
Total,Alba,2009, Thousands hectares,206.4
Total,Alba,2010, Thousands hectares,206.3
Total,Alba,2011, Thousands hectares,206.6
Total,Alba,2012, Thousands hectares,206.1
Total,Alba,2013, Thousands hectares,206.2
Total,Alba,2014, Thousands hectares,206.5
Total,Alba,2015, Thousands hectares,203.7
Total,Alba,2016, Thousands hectares,203.9
Total,Alba,2017, Thousands hectares,204.3
Total,Alba,2018, Thousands hectares,206.8
Total,Alba,2019, Thousands hectares,206.9
Total,Brasov,1990, Thousands hectares,190.2
Total,Brasov,1991, Thousands hectares,190.1
Total,Brasov,1992, Thousands hectares,190.1
Total,Brasov,1993, Thousands hectares,190.1
Total,Brasov,1994, Thousands hectares,190.2
Total,Brasov,1995, Thousands hectares,189.7
Total,Brasov,1996, Thousands hectares,189.9
Total,Brasov,1997, Thousands hectares,189.9
Total,Brasov,1998, Thousands hectares,190.0
Total,Brasov,1999, Thousands hectares,190.0
Total,Brasov,2000, Thousands hectares,190.0
Total,Brasov,2001, Thousands hectares,190.1
Total,Brasov,2002, Thousands hectares,190.6
Total,Brasov,2003, Thousands hectares,190.2
Total,Brasov,2004, Thousands hectares,190.1
Total,Brasov,2005, Thousands hectares,190.2
Total,Brasov,2006, Thousands hectares,197.7
Total,Brasov,2007, Thousands hectares,202.9
Total,Brasov,2008, Thousands hectares,202.9
Total,Brasov,2009, Thousands hectares,204.3
Total,Brasov,2010, Thousands hectares,204.3
Total,Brasov,2011, Thousands hectares,204.4
Total,Brasov,2012, Thousands hectares,204.7
Total,Brasov,2013, Thousands hectares,205.0
Total,Brasov,2014, Thousands hectares,205.0
Total,Brasov,2015, Thousands hectares,205.2
Total,Brasov,2016, Thousands hectares,205.2
Total,Brasov,2017, Thousands hectares,205.1
Total,Brasov,2018, Thousands hectares,205.2
Total,Brasov,2019, Thousands hectares,205.2
Total,Covasna,1990, Thousands hectares,162.1
Total,Covasna,1991, Thousands hectares,162.1
Total,Covasna,1992, Thousands hectares,162.4
Total,Covasna,1993, Thousands hectares,161.7
Total,Covasna,1994, Thousands hectares,162.0
Total,Covasna,1995, Thousands hectares,162.2
Total,Covasna,1996, Thousands hectares,161.9
Total,Covasna,1997, Thousands hectares,162.0
Total,Covasna,1998, Thousands hectares,161.9
Total,Covasna,1999, Thousands hectares,161.9
Total,Covasna,2000, Thousands hectares,161.9
Total,Covasna,2001, Thousands hectares,161.7
Total,Covasna,2002, Thousands hectares,161.0
Total,Covasna,2003, Thousands hectares,161.8
Total,Covasna,2004, Thousands hectares,161.2
Total,Covasna,2005, Thousands hectares,161.4
Total,Covasna,2006, Thousands hectares,162.4
Total,Covasna,2007, Thousands hectares,175.1
Total,Covasna,2008, Thousands hectares,162.6
Total,Covasna,2009, Thousands hectares,168.7
Total,Covasna,2010, Thousands hectares,167.2
Total,Covasna,2011, Thousands hectares,170.2
Total,Covasna,2012, Thousands hectares,170.2
Total,Covasna,2013, Thousands hectares,171.3
Total,Covasna,2014, Thousands hectares,171.3
Total,Covasna,2015, Thousands hectares,171.4
Total,Covasna,2016, Thousands hectares,171.5
Total,Covasna,2017, Thousands hectares,171.4
Total,Covasna,2018, Thousands hectares,171.4
Total,Covasna,2019, Thousands hectares,171.4
Total,Harghita,1990, Thousands hectares,231.2
Total,Harghita,1991, Thousands hectares,231.3
Total,Harghita,1992, Thousands hectares,231.3
Total,Harghita,1993, Thousands hectares,231.3
Total,Harghita,1994, Thousands hectares,230.8
Total,Harghita,1995, Thousands hectares,231.1
Total,Harghita,1996, Thousands hectares,231.3
Total,Harghita,1997, Thousands hectares,231.4
Total,Harghita,1998, Thousands hectares,231.5
Total,Harghita,1999, Thousands hectares,231.5
Total,Harghita,2000, Thousands hectares,231.4
Total,Harghita,2001, Thousands hectares,231.4
Total,Harghita,2002, Thousands hectares,226.9
Total,Harghita,2003, Thousands hectares,231.0
Total,Harghita,2004, Thousands hectares,234.9
Total,Harghita,2005, Thousands hectares,237.4
Total,Harghita,2006, Thousands hectares,265.4
Total,Harghita,2007, Thousands hectares,272.8
Total,Harghita,2008, Thousands hectares,264.8
Total,Harghita,2009, Thousands hectares,264.1
Total,Harghita,2010, Thousands hectares,262.3
Total,Harghita,2011, Thousands hectares,262.4
Total,Harghita,2012, Thousands hectares,262.4
Total,Harghita,2013, Thousands hectares,264.1
Total,Harghita,2014, Thousands hectares,264.1
Total,Harghita,2015, Thousands hectares,264.1
Total,Harghita,2016, Thousands hectares,264.1
Total,Harghita,2017, Thousands hectares,264.1
Total,Harghita,2018, Thousands hectares,264.1
Total,Harghita,2019, Thousands hectares,264.1
Total,Mures,1990, Thousands hectares,208.3
Total,Mures,1991, Thousands hectares,208.3
Total,Mures,1992, Thousands hectares,208.3
Total,Mures,1993, Thousands hectares,208.2
Total,Mures,1994, Thousands hectares,208.4
Total,Mures,1995, Thousands hectares,208.2
Total,Mures,1996, Thousands hectares,208.2
Total,Mures,1997, Thousands hectares,208.1
Total,Mures,1998, Thousands hectares,208.1
Total,Mures,1999, Thousands hectares,208.1
Total,Mures,2000, Thousands hectares,208.4
Total,Mures,2001, Thousands hectares,208.4
Total,Mures,2002, Thousands hectares,208.4
Total,Mures,2003, Thousands hectares,208.3
Total,Mures,2004, Thousands hectares,208.3
Total,Mures,2005, Thousands hectares,208.5
Total,Mures,2006, Thousands hectares,208.5
Total,Mures,2007, Thousands hectares,208.5
Total,Mures,2008, Thousands hectares,225.2
Total,Mures,2009, Thousands hectares,219.4
Total,Mures,2010, Thousands hectares,219.6
Total,Mures,2011, Thousands hectares,219.7
Total,Mures,2012, Thousands hectares,219.8
Total,Mures,2013, Thousands hectares,219.7
Total,Mures,2014, Thousands hectares,219.8
Total,Mures,2015, Thousands hectares,220.1
Total,Mures,2016, Thousands hectares,220.1
Total,Mures,2017, Thousands hectares,220.1
Total,Mures,2018, Thousands hectares,220.0
Total,Mures,2019, Thousands hectares,220.7
Total,Sibiu,1990, Thousands hectares,186.4
Total,Sibiu,1991, Thousands hectares,186.5
Total,Sibiu,1992, Thousands hectares,186.7
Total,Sibiu,1993, Thousands hectares,186.7
Total,Sibiu,1994, Thousands hectares,186.6
Total,Sibiu,1995, Thousands hectares,186.2
Total,Sibiu,1996, Thousands hectares,186.4
Total,Sibiu,1997, Thousands hectares,186.4
Total,Sibiu,1998, Thousands hectares,186.4
Total,Sibiu,1999, Thousands hectares,186.5
Total,Sibiu,2000, Thousands hectares,186.4
Total,Sibiu,2001, Thousands hectares,186.4
Total,Sibiu,2002, Thousands hectares,186.8
Total,Sibiu,2003, Thousands hectares,186.8
Total,Sibiu,2004, Thousands hectares,186.4
Total,Sibiu,2005, Thousands hectares,186.8
Total,Sibiu,2006, Thousands hectares,186.5
Total,Sibiu,2007, Thousands hectares,198.4
Total,Sibiu,2008, Thousands hectares,190.0
Total,Sibiu,2009, Thousands hectares,194.4
Total,Sibiu,2010, Thousands hectares,195.9
Total,Sibiu,2011, Thousands hectares,196.3
Total,Sibiu,2012, Thousands hectares,196.7
Total,Sibiu,2013, Thousands hectares,197.7
Total,Sibiu,2014, Thousands hectares,198.5
Total,Sibiu,2015, Thousands hectares,198.9
Total,Sibiu,2016, Thousands hectares,198.9
Total,Sibiu,2017, Thousands hectares,200.1
Total,Sibiu,2018, Thousands hectares,201.6
Total,Sibiu,2019, Thousands hectares,201.9
Total,MACROREGIUNEA DOI,1990, Thousands hectares,1728.5
Total,MACROREGIUNEA DOI,1991, Thousands hectares,1725.3
Total,MACROREGIUNEA DOI,1992, Thousands hectares,1725.1
Total,MACROREGIUNEA DOI,1993, Thousands hectares,1725.4
Total,MACROREGIUNEA DOI,1994, Thousands hectares,1729.1
Total,MACROREGIUNEA DOI,1995, Thousands hectares,1729.0
Total,MACROREGIUNEA DOI,1996, Thousands hectares,1726.5
Total,MACROREGIUNEA DOI,1997, Thousands hectares,1727.3
Total,MACROREGIUNEA DOI,1998, Thousands hectares,1727.2
Total,MACROREGIUNEA DOI,1999, Thousands hectares,1726.9
Total,MACROREGIUNEA DOI,2000, Thousands hectares,1726.3
Total,MACROREGIUNEA DOI,2001, Thousands hectares,1726.0
Total,MACROREGIUNEA DOI,2002, Thousands hectares,1735.4
Total,MACROREGIUNEA DOI,2003, Thousands hectares,1730.6
Total,MACROREGIUNEA DOI,2004, Thousands hectares,1742.0
Total,MACROREGIUNEA DOI,2005, Thousands hectares,1743.9
Total,MACROREGIUNEA DOI,2006, Thousands hectares,1731.9
Total,MACROREGIUNEA DOI,2007, Thousands hectares,1740.3
Total,MACROREGIUNEA DOI,2008, Thousands hectares,1728.3
Total,MACROREGIUNEA DOI,2009, Thousands hectares,1741.6
Total,MACROREGIUNEA DOI,2010, Thousands hectares,1742.9
Total,MACROREGIUNEA DOI,2011, Thousands hectares,1740.7
Total,MACROREGIUNEA DOI,2012, Thousands hectares,1743.8
Total,MACROREGIUNEA DOI,2013, Thousands hectares,1740.6
Total,MACROREGIUNEA DOI,2014, Thousands hectares,1742.4
Total,MACROREGIUNEA DOI,2015, Thousands hectares,1747.0
Total,MACROREGIUNEA DOI,2016, Thousands hectares,1748.4
Total,MACROREGIUNEA DOI,2017, Thousands hectares,1749.4
Total,MACROREGIUNEA DOI,2018, Thousands hectares,1751.7
Total,MACROREGIUNEA DOI,2019, Thousands hectares,1753.8
Total,Regiunea NORD-EST,1990, Thousands hectares,1186.6
Total,Regiunea NORD-EST,1991, Thousands hectares,1185.7
Total,Regiunea NORD-EST,1992, Thousands hectares,1185.4
Total,Regiunea NORD-EST,1993, Thousands hectares,1185.4
Total,Regiunea NORD-EST,1994, Thousands hectares,1186.4
Total,Regiunea NORD-EST,1995, Thousands hectares,1185.7
Total,Regiunea NORD-EST,1996, Thousands hectares,1185.2
Total,Regiunea NORD-EST,1997, Thousands hectares,1185.3
Total,Regiunea NORD-EST,1998, Thousands hectares,1185.6
Total,Regiunea NORD-EST,1999, Thousands hectares,1185.3
Total,Regiunea NORD-EST,2000, Thousands hectares,1184.8
Total,Regiunea NORD-EST,2001, Thousands hectares,1184.8
Total,Regiunea NORD-EST,2002, Thousands hectares,1185.2
Total,Regiunea NORD-EST,2003, Thousands hectares,1188.0
Total,Regiunea NORD-EST,2004, Thousands hectares,1190.8
Total,Regiunea NORD-EST,2005, Thousands hectares,1193.3
Total,Regiunea NORD-EST,2006, Thousands hectares,1189.1
Total,Regiunea NORD-EST,2007, Thousands hectares,1188.4
Total,Regiunea NORD-EST,2008, Thousands hectares,1181.2
Total,Regiunea NORD-EST,2009, Thousands hectares,1189.8
Total,Regiunea NORD-EST,2010, Thousands hectares,1190.7
Total,Regiunea NORD-EST,2011, Thousands hectares,1192.0
Total,Regiunea NORD-EST,2012, Thousands hectares,1192.4
Total,Regiunea NORD-EST,2013, Thousands hectares,1192.5
Total,Regiunea NORD-EST,2014, Thousands hectares,1194.1
Total,Regiunea NORD-EST,2015, Thousands hectares,1196.4
Total,Regiunea NORD-EST,2016, Thousands hectares,1197.4
Total,Regiunea NORD-EST,2017, Thousands hectares,1198.1
